__v,_id,active,altNames,createdAt,growthRate24,growthRate48,growthRate72,last24hours,last48hours,metadata.name,metadata.symbol,previousWeek,score,strictNameCheck,thisWeek,week
0,609adad29337756c0f686028,true,[],2021-05-11T19:28:18.076Z,0,0,0,0,0,Centricus Acquisition Corp. Class A Ordinary Share,CENH,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad29337756c0f686029,true,[],2021-05-11T19:28:18.852Z,0,0,0,0,0,Centricus Acquisition Corp. Unit,CENHU,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad29337756c0f68602a,true,[],2021-05-11T19:28:18.885Z,0,0,0,0,0,Centricus Acquisition Corp. Warrant,CENHW,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad29337756c0f68602b,true,[],2021-05-11T19:28:18.911Z,400,400,400,4,4,Central Garden & Pet Company Common Stock,CENT,0,98.48275862068965,false,4,"[4,0,0,0,0,0,0]"
0,609adad29337756c0f68602c,true,[],2021-05-11T19:28:18.941Z,0,0,0,0,0,Central Garden & Pet Company Class A Common Stock Nonvoting,CENTA,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad29337756c0f68602d,true,[],2021-05-11T19:28:18.978Z,0,0,0,0,0,Century Aluminum Company Common Stock,CENX,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad39337756c0f68602e,true,[],2021-05-11T19:28:19.008Z,700,700,700,7,7,Cerecor Inc. Common Stock,CERC,0,172.3448275862069,false,7,"[7,0,0,0,0,0,0]"
0,609adad39337756c0f68602f,true,[],2021-05-11T19:28:19.072Z,0,0,0,0,0,Cerevel Therapeutics Holdings Inc. Common Stock,CERE,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad39337756c0f686030,true,[],2021-05-11T19:28:19.825Z,0,0,0,0,0,Cerevel Therapeutics Holdings Inc. Warrant,CEREW,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad39337756c0f686031,true,[],2021-05-11T19:28:19.867Z,0,0,0,0,0,Cerner Corporation Common Stock,CERN,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad39337756c0f686032,true,[],2021-05-11T19:28:19.898Z,100,100,100,1,1,Cerus Corporation Common Stock,CERS,0,24.620689655172413,false,1,"[1,0,0,0,0,0,0]"
0,609adad39337756c0f686033,true,[],2021-05-11T19:28:19.926Z,100,100,100,1,1,Certara Inc. Common Stock,CERT,0,24.620689655172413,false,1,"[1,0,0,0,0,0,0]"
0,609adad39337756c0f686034,true,[],2021-05-11T19:28:19.963Z,0,0,0,0,0,Cemtrex Inc. Common Stock,CETX,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad39337756c0f686035,true,[],2021-05-11T19:28:19.994Z,0,0,0,0,0,Cemtrex Inc. Series 1 Preferred Stock,CETXP,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad49337756c0f686036,true,[],2021-05-11T19:28:20.060Z,0,0,0,0,0,Cemtrex Inc. Series 1 Warrant,CETXW,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad49337756c0f686037,true,[],2021-05-11T19:28:20.093Z,0,0,0,0,0,CEVA Inc. Common Stock,CEVA,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad49337756c0f686038,true,[],2021-05-11T19:28:20.148Z,0,0,0,0,0,CF Finance Acquisition Corp. III Common Stock,CFAC,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad49337756c0f686039,true,[],2021-05-11T19:28:20.188Z,0,0,0,0,0,CF Finance Acquisition Corp. III Unit,CFACU,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad49337756c0f68603a,true,[],2021-05-11T19:28:20.805Z,0,0,0,0,0,CF Finance Acquisition Corp. III Warrant,CFACW,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad49337756c0f68603b,true,[],2021-05-11T19:28:20.836Z,0,0,0,0,0,CrossFirst Bankshares Inc. Common Stock,CFB,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad49337756c0f68603c,true,[],2021-05-11T19:28:20.882Z,0,0,0,0,0,CF Bankshares Inc. Common Stock,CFBK,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad49337756c0f68603d,true,[],2021-05-11T19:28:20.926Z,0,0,0,0,0,CF Acquisition Corp. VIII Class A Common Stock,CFFE,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad49337756c0f68603e,true,[],2021-05-11T19:28:20.972Z,0,0,0,0,0,CF Acquisition Corp. VIII Unit,CFFEU,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad59337756c0f68603f,true,[],2021-05-11T19:28:21.012Z,0,0,0,0,0,CF Acquisition Corp. VIII Warrant,CFFEW,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad59337756c0f686040,true,[],2021-05-11T19:28:21.061Z,0,0,0,0,0,C&F Financial Corporation Common Stock,CFFI,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad59337756c0f686041,true,[],2021-05-11T19:28:21.083Z,0,0,0,0,0,Capitol Federal Financial Inc. Common Stock,CFFN,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad59337756c0f686042,true,[],2021-05-11T19:28:21.118Z,0,0,0,0,0,CF Acquisition Corp. V Unit,CFFVU,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad59337756c0f686043,true,[],2021-05-11T19:28:21.809Z,0,0,0,0,0,CF Acquisition Corp. V Warrant,CFFVW,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad59337756c0f686044,true,[],2021-05-11T19:28:21.838Z,0,0,0,0,0,CF Acquisition Corp. IV Class A common stock,CFIV,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad59337756c0f686045,true,[],2021-05-11T19:28:21.874Z,0,0,0,0,0,CF Acquisition Corp. IV Unit,CFIVU,0,0,false,0,"[0,0,0,0,0,0,0]"
